date,cases,new_cases,cases_avg7,cases_avg7_pc,cases_avg14,cases_avg14_pc,deaths,new_deaths,deaths_avg7,deaths_avg7_pc,deaths_avg14,deaths_avg14_pc,tot_pop
2020-04-28,1016256,24637,29655.14285714286,0.08993888724403092,29089.64285714286,0.08822382416099306,58318,2392,1954.857142857143,0.0059287415001364205,1954.857142857143,0.0059287415001364205,329725481
2020-04-29,1042742,26486,29328.571428571428,0.08894845293613031,28842,0.0874727664738777,60832,2514,1975.7142857142858,0.005991997584543021,1975.7142857142858,0.005991997584543021,329725481
2020-04-30,1073026,30284,28884.428571428572,0.0876014449469514,28754.85714285714,0.0872084773540967,63036,2204,1984,0.006017126713964821,1984,0.006017126713964821,329725481
2020-05-01,1106960,33934,28492.714285714286,0.0864134436904932,28930.5,0.08774117157175365,64796,1760,1932,0.005859419763800421,1932,0.005859419763800421,329725481
2020-05-02,1136250,29290,27766.285714285714,0.08421031225756469,28998.428571428572,0.0879471871069272,66378,1582,1878,0.00569564716170662,1878,0.00569564716170662,329725481
2020-05-03,1162338,26088,27683.285714285714,0.08395858770249459,29059.285714285714,0.08813175622992181,67707,1329,1889,0.005729008247318319,1889,0.005729008247318319,329725481
2020-05-04,1184231,21893,27516,0.08345123924468549,28669.35714285714,0.08694917073411484,68796,1089,1838.5714285714287,0.00557606716652702,1838.5714285714287,0.00557606716652702,329725481
2020-05-05,1207891,23660,27376.428571428572,0.08302794339218379,28515.785714285714,0.08648341531810734,71028,2232,1815.7142857142858,0.0055067454301910195,1815.7142857142858,0.0055067454301910195,329725481
2020-05-06,1232352,24461,27087.14285714286,0.08215059016668129,28207.85714285714,0.0855495215514058,73736,2708,1843.4285714285713,0.005590798035498419,1843.4285714285713,0.005590798035498419,329725481
2020-05-07,1260763,28411,26819.571428571428,0.08133909259069798,27852,0.0844702687688247,75691,1955,1807.857142857143,0.005482916083325519,1807.857142857143,0.005482916083325519,329725481
2020-05-08,1288283,27520,25903.285714285714,0.07856015748532857,27198,0.08248680058791089,77261,1570,1780.7142857142858,0.005400596521426519,1780.7142857142858,0.005400596521426519,329725481
2020-05-09,1313133,24850,25269,0.07663647930200457,26517.64285714286,0.08042339577978463,78714,1453,1762.2857142857142,0.0053447058715056185,1762.2857142857142,0.0053447058715056185,329725481
2020-05-10,1333425,20292,24441,0.07412529940323295,26062.14285714286,0.07904194355286377,79642,928,1705,0.005170968269813518,1705,0.005170968269813518,329725481
2020-05-11,1350985,17560,23822,0.07224798013108365,25669,0.07784960968788458,80621,979,1689.2857142857142,0.005123309576082518,1689.2857142857142,0.005123309576082518,329725481
2020-05-12,1373241,22256,23621.428571428572,0.07163968189473525,25498.928571428572,0.07733381264345952,82272,1651,1606.2857142857142,0.004871585021012416,1606.2857142857142,0.004871585021012416,329725481
2020-05-13,1394356,21115,23143.428571428572,0.07018999108360864,25115.285714285714,0.07617029062514497,84039,1767,1471.857142857143,0.0044638865591863156,1471.857142857143,0.0044638865591863156,329725481
2020-05-14,1421220,26864,22922.428571428572,0.06951973654540995,24871,0.07542941456805395,85775,1736,1440.5714285714287,0.004369002432576416,1440.5714285714287,0.004369002432576416,329725481
2020-05-15,1447340,26120,22722.428571428572,0.06891317135246994,24312.85714285714,0.07373666441889926,87363,1588,1443.142857142857,0.004376801127914215,1443.142857142857,0.004376801127914215,329725481
2020-05-16,1470950,23610,22545.285714285714,0.06837592789586593,23907.14285714286,0.07250620359893525,88588,1225,1410.5714285714287,0.004278017653635415,1410.5714285714287,0.004278017653635415,329725481
2020-05-17,1489907,18957,22354.571428571428,0.06779752465831243,23397.785714285714,0.0709614120307727,89431,843,1398.4285714285713,0.004241190481206914,1398.4285714285713,0.004241190481206914,329725481
2020-05-18,1511670,21763,22955,0.06961852001968874,23388.5,0.0709332500753862,90270,839,1378.4285714285713,0.004180533961912914,1378.4285714285713,0.004180533961912914,329725481
