date,measure,value
2020-04-22,deaths_avg7_pc,0.00649544669468322
2020-04-23,cases,870835
2020-04-23,cases_avg7_pc,0.086815509761242
2020-04-23,deaths,49148
2020-04-23,deaths_avg7_pc,0.00641009430681952
2020-04-24,cases,907511
2020-04-24,cases_avg7_pc,0.0890688994530141
2020-04-24,deaths,51272
2020-04-24,deaths_avg7_pc,0.00633990604877932
2020-04-25,cases,941886
2020-04-25,cases_avg7_pc,0.09168406195628973
2020-04-25,deaths,53232
2020-04-25,deaths_avg7_pc,0.00634467191815242
2020-04-26,cases,968555
2020-04-26,cases_avg7_pc,0.092304924757349
2020-04-26,deaths,54484
2020-04-26,deaths_avg7_pc,0.00622032605359972
2020-04-27,cases,991619
2020-04-27,cases_avg7_pc,0.0904471022235442
2020-04-27,deaths,55926
2020-04-27,deaths_avg7_pc,0.00604962127787232
2020-04-28,cases,1016256
2020-04-28,cases_avg7_pc,0.08993888724403092
2020-04-28,deaths,58318
2020-04-28,deaths_avg7_pc,0.00592874150013642
2020-04-29,cases,1042742
2020-04-29,cases_avg7_pc,0.08894845293613031
2020-04-29,deaths,60832
2020-04-29,deaths_avg7_pc,0.00599199758454302
2020-04-30,cases,1073026
2020-04-30,cases_avg7_pc,0.0876014449469514
2020-04-30,deaths,63036
2020-04-30,deaths_avg7_pc,0.00601712671396482
2020-05-01,cases,1106960
2020-05-01,cases_avg7_pc,0.0864134436904932
2020-05-01,deaths,64796
2020-05-01,deaths_avg7_pc,0.00585941976380042
2020-05-02,cases,1136250
2020-05-02,cases_avg7_pc,0.08421031225756469
2020-05-02,deaths,66378
2020-05-02,deaths_avg7_pc,0.00569564716170662
2020-05-03,cases,1162338
2020-05-03,cases_avg7_pc,0.08395858770249459
2020-05-03,deaths,67707
2020-05-03,deaths_avg7_pc,0.00572900824731831
2020-05-04,cases,1184231
2020-05-04,cases_avg7_pc,0.08345123924468549
2020-05-04,deaths,68796
2020-05-04,deaths_avg7_pc,0.00557606716652702
2020-05-05,cases,1207891
2020-05-05,cases_avg7_pc,0.08302794339218379
2020-05-05,deaths,71028
2020-05-05,deaths_avg7_pc,0.00550674543019101
2020-05-06,cases,1232352
2020-05-06,cases_avg7_pc,0.08215059016668129
2020-05-06,deaths,73736
2020-05-06,deaths_avg7_pc,0.00559079803549841
2020-05-07,cases,1260763
2020-05-07,cases_avg7_pc,0.08133909259069798
2020-05-07,deaths,75691
2020-05-07,deaths_avg7_pc,0.00548291608332551
2020-05-08,cases,1288283
2020-05-08,cases_avg7_pc,0.07856015748532857
2020-05-08,deaths,77261
2020-05-08,deaths_avg7_pc,0.00540059652142651
2020-05-09,cases,1313133
2020-05-09,cases_avg7_pc,0.07663647930200457
2020-05-09,deaths,78714
2020-05-09,deaths_avg7_pc,0.00534470587150561
2020-05-10,cases,1333425
2020-05-10,cases_avg7_pc,0.07412529940323295
2020-05-10,deaths,79642
2020-05-10,deaths_avg7_pc,0.00517096826981351
2020-05-11,cases,1350985
2020-05-11,cases_avg7_pc,0.07224798013108365
2020-05-11,deaths,80621
2020-05-11,deaths_avg7_pc,0.00512330957608251
2020-05-12,cases,1373241
2020-05-12,cases_avg7_pc,0.07163968189473525
2020-05-12,deaths,82272
2020-05-12,deaths_avg7_pc,0.00487158502101241
2020-05-13,cases,1394356
2020-05-13,cases_avg7_pc,0.07018999108360864
2020-05-13,deaths,84039
2020-05-13,deaths_avg7_pc,0.00446388655918631
2020-05-14,cases,1421220
2020-05-14,cases_avg7_pc,0.06951973654540995
2020-05-14,deaths,85775
2020-05-14,deaths_avg7_pc,0.00436900243257641
2020-05-15,cases,1447340
2020-05-15,cases_avg7_pc,0.06891317135246994
2020-05-15,deaths,87363
2020-05-15,deaths_avg7_pc,0.00437680112791421
2020-05-16,cases,1470950
2020-05-16,cases_avg7_pc,0.06837592789586593
2020-05-16,deaths,88588
2020-05-16,deaths_avg7_pc,0.00427801765363541
2020-05-17,cases,1489907
2020-05-17,cases_avg7_pc,0.06779752465831243
2020-05-17,deaths,89431
2020-05-17,deaths_avg7_pc,0.00424119048120691
2020-05-18,cases,1511670
2020-05-18,cases_avg7_pc,0.06961852001968874
2020-05-18,deaths,90270
2020-05-18,deaths_avg7_pc,0.00418053396191291
2020-05-19,cases,1532552
2020-05-19,cases_avg7_pc,0.06902321960890334
2020-05-19,deaths,91790
2020-05-19,deaths_avg7_pc,0.00412377679028781
2020-05-20,cases,1555550
2020-05-20,cases_avg7_pc,0.06983904979340765
2020-05-20,deaths,93272
2020-05-20,deaths_avg7_pc,0.00400029744743931
2020-05-21,cases,1581235
2020-05-21,cases_avg7_pc,0.06932823524878175
2020-05-21,deaths,94582
2020-05-21,deaths_avg7_pc,0.00381572832444471
2020-05-22,cases,1604917
2020-05-22,cases_avg7_pc,0.06827194529136194
2020-05-22,deaths,95870
2020-05-22,deaths_avg7_pc,0.00368575006881471
2020-05-23,cases,1627115
2020-05-23,cases_avg7_pc,0.06766018096819675
2020-05-23,deaths,96919
2020-05-23,deaths_avg7_pc,0.00360949615884511
2020-05-24,cases,1647056
2020-05-24,cases_avg7_pc,0.06808650964666313
2020-05-24,deaths,97539
2020-05-24,deaths_avg7_pc,0.00351287898882681
2020-05-25,cases,1666085
2020-05-25,cases_avg7_pc,0.06690197447702173
2020-05-25,deaths,98047
2020-05-25,deaths_avg7_pc,0.00336946964678171
2020-05-26,cases,1684913
